Clade	j	b	Tmin	c	Tmax	topt	resid
555	Clade A1	555	0.00869708714675487	110.932079654824	0.535504003224531	293.266054158149	11.8	1.89064168386892e-15
558	Clade A1	558	0.26664424958475	259.189900639363	0.0120739545274865	303.487987329047	9.80000000000001	1.85443805739039e-15
561	Clade A1	561	0.0219758511924812	212.727217748816	0.376098757108339	291.892905398061	10.1	4.12130578403737e-15
572	Clade A1	572	0.0306091377134935	230.336480816149	0.251507391914095	292.711378226927	9.19999999999999	2.71947991102104e-16
575	Clade A1	575	0.127446782233665	259.470594902976	0.0536723858608826	295.813901236358	8.30000000000001	1.00534970772086e-15
578	Clade A1	578	0.360854583862098	261.390777619801	0.0132900582224243	299.03570972599	8.30000000000001	1.81071895591912e-15
580	Clade A1	580	0.427288485044141	264.333921918651	0.0171777881987071	295.232644275512	7.80000000000001	2.10064054244891e-15
581	Clade A1	581	0.452544357603076	262.484559168927	0.0145701836556646	295.55412698851	7	1.68098911787226e-15
582	Clade A1	582	0.0730748553127745	253.945870559652	0.122694021737732	294.816303084275	9.5	2.61551202682447e-15
583	Clade A1	583	0.751817020291871	263.510294809891	0.00804122395361575	297.720843247228	8.19999999999999	1.46448475105398e-15
593	Clade A1	593	0.0289072221607739	229.385017718303	0.269503252295546	293.579265474336	10.4	2.19532391524226e-15
598	Clade A1	598	0.0494323622179283	247.167647862552	0.153987388230905	293.812666136659	8.80000000000001	6.77599954797753e-16
599	Clade A1	599	0.0627134615734193	249.842679624512	0.0770303037794784	298.125935645279	9	1.65419505046575e-15
605	Clade A1	605	0.0771016130258538	253.949318769991	0.0827628304572467	295.575126261172	8.30000000000001	1.9798112593924e-15
607	Clade A1	607	0.101828358473297	257.38108405467	0.0610671998928474	296.710243308628	8.80000000000001	1.74485244536246e-15
608	Clade A1	608	0.134023761241552	259.70114385493	0.0521063332469761	295.594336450347	8.19999999999999	2.92265025094455e-15
615	Clade A1	615	0.0777472572913946	257.474424369114	0.140825501097203	293.278827572006	9.5	3.48661294223667e-15
616	Clade A1	616	0.0400645608193981	240.379174804303	0.252708888856762	294.788921618623	11.9	3.5108334685767e-16
617	Clade A1	617	0.0456463158365297	245.248209366103	0.404949091087972	291.045003159495	11.1	4.54140931743154e-15
620	Clade A1	620	0.0599040477601948	249.836832010755	0.0868189509038215	297.749285087311	9.30000000000001	8.52778486478535e-16
623	Clade A1	623	0.0182828435860967	204.00879281227	0.468335312328696	292.724333630653	11.9	2.34464804038025e-15
630	Clade A1	630	0.0788825296233039	248.81110085517	0.0367327061268303	302.645838763015	8.30000000000001	1.4130832128154e-15
634	Clade A1	634	0.0457909048846177	241.117336046152	0.177550703065642	293.985049289126	9.10000000000002	1.18539381111297e-15
636	Clade A1	636	0.0741421911500996	255.766267420588	0.109789349868422	295.561909157692	10	1.3414875847489e-15
638	Clade A1	638	0.101449997833245	260.015401961313	0.0901654600675444	294.881843179589	9.60000000000002	7.92857827008092e-16
640	Clade A1	640	0.0275807889459445	223.958718327414	0.205595179121517	294.850700981885	9.39999999999998	1.11022302462516e-16
642	Clade A1	642	0.0506434444452169	244.521247136228	0.123743022951355	296.950641391015	9.80000000000001	5.76888805915069e-16
